scores,time_points,x,keyword
0.0,415946.466667,2017-06-14 11:28:00,LG
0.0,415946.716667,2017-06-14 11:43:00,LG
0.0,415946.966667,2017-06-14 11:58:00,LG
0.0,415947.216667,2017-06-14 12:13:00,LG
0.0,415947.466667,2017-06-14 12:28:00,LG
0.0,415947.716667,2017-06-14 12:43:00,LG
0.0,415947.966667,2017-06-14 12:58:00,LG
0.0,415948.216667,2017-06-14 13:13:00,LG
0.0,415948.466667,2017-06-14 13:28:00,LG
0.0,415948.716667,2017-06-14 13:43:00,LG
0.0,415948.966667,2017-06-14 13:58:00,LG
0.0,415949.216667,2017-06-14 14:13:00,LG
0.0,415949.466667,2017-06-14 14:28:00,LG
0.0,415949.716667,2017-06-14 14:43:00,LG
0.0,415949.966667,2017-06-14 14:58:00,LG
0.0,415950.216667,2017-06-14 15:13:00,LG
0.0,415950.466667,2017-06-14 15:28:00,LG
0.0,415950.716667,2017-06-14 15:43:00,LG
0.0,415950.966667,2017-06-14 15:58:00,LG
0.0,415951.216667,2017-06-14 16:13:00,LG
0.0,415951.466667,2017-06-14 16:28:00,LG
0.0,415951.716667,2017-06-14 16:43:00,LG
0.0,415951.966667,2017-06-14 16:58:00,LG
0.0,415952.216667,2017-06-14 17:13:00,LG
0.0,415952.466667,2017-06-14 17:28:00,LG
0.0,415952.716667,2017-06-14 17:43:00,LG
0.0,415952.966667,2017-06-14 17:58:00,LG
0.0,415953.216667,2017-06-14 18:13:00,LG
0.0,415953.466667,2017-06-14 18:28:00,LG
0.0,415953.716667,2017-06-14 18:43:00,LG
0.0,415953.966667,2017-06-14 18:58:00,LG
0.0,415954.216667,2017-06-14 19:13:00,LG
0.0,415954.466667,2017-06-14 19:28:00,LG
0.0,415954.716667,2017-06-14 19:43:00,LG
0.0,415954.966667,2017-06-14 19:58:00,LG
0.0,415955.216667,2017-06-14 20:13:00,LG
0.0,415955.466667,2017-06-14 20:28:00,LG
0.0,415955.716667,2017-06-14 20:43:00,LG
0.0,415955.966667,2017-06-14 20:58:00,LG
0.0,415956.216667,2017-06-14 21:13:00,LG
0.0,415956.466667,2017-06-14 21:28:00,LG
0.0,415956.716667,2017-06-14 21:43:00,LG
0.0,415956.966667,2017-06-14 21:58:00,LG
0.0,415957.216667,2017-06-14 22:13:00,LG
0.0,415957.466667,2017-06-14 22:28:00,LG
0.0,415957.716667,2017-06-14 22:43:00,LG
0.0,415957.966667,2017-06-14 22:58:00,LG
0.0,415958.216667,2017-06-14 23:13:00,LG
0.0,415958.466667,2017-06-14 23:28:00,LG
0.0,415958.716667,2017-06-14 23:43:00,LG
0.0,415958.966667,2017-06-14 23:58:00,LG
0.0,415959.216667,2017-06-15 00:13:00,LG
0.0,415959.466667,2017-06-15 00:28:00,LG
0.0,415959.716667,2017-06-15 00:43:00,LG
0.0,415959.966667,2017-06-15 00:58:00,LG
0.0,415960.216667,2017-06-15 01:13:00,LG
0.0,415960.466667,2017-06-15 01:28:00,LG
0.0,415960.716667,2017-06-15 01:43:00,LG
0.0,415960.966667,2017-06-15 01:58:00,LG
0.0,415961.216667,2017-06-15 02:13:00,LG
0.0,415961.466667,2017-06-15 02:28:00,LG
0.0,415961.716667,2017-06-15 02:43:00,LG
0.0,415961.966667,2017-06-15 02:58:00,LG
0.0,415962.216667,2017-06-15 03:13:00,LG
0.0,415962.466667,2017-06-15 03:28:00,LG
0.0,415962.716667,2017-06-15 03:43:00,LG
0.0,415962.966667,2017-06-15 03:58:00,LG
0.0,415963.216667,2017-06-15 04:13:00,LG
0.0,415963.466667,2017-06-15 04:28:00,LG
0.0,415963.716667,2017-06-15 04:43:00,LG
0.0,415963.966667,2017-06-15 04:58:00,LG
0.0,415964.216667,2017-06-15 05:13:00,LG
0.0,415964.466667,2017-06-15 05:28:00,LG
0.0,415964.716667,2017-06-15 05:43:00,LG
0.0,415964.966667,2017-06-15 05:58:00,LG
0.0,415965.216667,2017-06-15 06:13:00,LG
0.0,415965.466667,2017-06-15 06:28:00,LG
0.0,415965.716667,2017-06-15 06:43:00,LG
0.0,415965.966667,2017-06-15 06:58:00,LG
0.0,415966.216667,2017-06-15 07:13:00,LG
0.0,415966.466667,2017-06-15 07:28:00,LG
0.0,415966.716667,2017-06-15 07:43:00,LG
0.0,415966.966667,2017-06-15 07:58:00,LG
0.0,415967.216667,2017-06-15 08:13:00,LG
0.0,415967.466667,2017-06-15 08:28:00,LG
0.0,415967.716667,2017-06-15 08:43:00,LG
0.0,415967.966667,2017-06-15 08:58:00,LG
0.0,415968.216667,2017-06-15 09:13:00,LG
0.0,415968.466667,2017-06-15 09:28:00,LG
0.0,415968.716667,2017-06-15 09:43:00,LG
0.0,415968.966667,2017-06-15 09:58:00,LG
0.0,415969.216667,2017-06-15 10:13:00,LG
0.0,415969.466667,2017-06-15 10:28:00,LG
0.0,415969.716667,2017-06-15 10:43:00,LG
0.0,415969.966667,2017-06-15 10:58:00,LG
0.0,415970.216667,2017-06-15 11:13:00,LG
0.0,415970.466667,2017-06-15 11:28:00,LG
0.0,415970.716667,2017-06-15 11:43:00,LG
0.0,415970.966667,2017-06-15 11:58:00,LG
0.0,415971.216667,2017-06-15 12:13:00,LG
0.0,415971.466667,2017-06-15 12:28:00,LG
0.0,415971.716667,2017-06-15 12:43:00,LG
0.0,415971.966667,2017-06-15 12:58:00,LG
0.0,415972.216667,2017-06-15 13:13:00,LG
0.0,415972.466667,2017-06-15 13:28:00,LG
0.0,415972.716667,2017-06-15 13:43:00,LG
0.0,415972.966667,2017-06-15 13:58:00,LG
0.0,415973.216667,2017-06-15 14:13:00,LG
0.0,415973.466667,2017-06-15 14:28:00,LG
0.0,415973.716667,2017-06-15 14:43:00,LG
0.0,415973.966667,2017-06-15 14:58:00,LG
0.0,415974.216667,2017-06-15 15:13:00,LG
0.0,415974.466667,2017-06-15 15:28:00,LG
0.0,415974.716667,2017-06-15 15:43:00,LG
0.0,415974.966667,2017-06-15 15:58:00,LG
0.0,415975.216667,2017-06-15 16:13:00,LG
0.0,415975.466667,2017-06-15 16:28:00,LG
0.0,415975.716667,2017-06-15 16:43:00,LG
0.0,415975.966667,2017-06-15 16:58:00,LG
0.0,415976.216667,2017-06-15 17:13:00,LG
0.0,415976.466667,2017-06-15 17:28:00,LG
0.0,415976.716667,2017-06-15 17:43:00,LG
0.0,415976.966667,2017-06-15 17:58:00,LG
0.0,415977.216667,2017-06-15 18:13:00,LG
0.0,415977.466667,2017-06-15 18:28:00,LG
0.0,415977.716667,2017-06-15 18:43:00,LG
0.0,415977.966667,2017-06-15 18:58:00,LG
0.0,415978.216667,2017-06-15 19:13:00,LG
0.0,415978.466667,2017-06-15 19:28:00,LG
0.0,415978.716667,2017-06-15 19:43:00,LG
0.0,415978.966667,2017-06-15 19:58:00,LG
0.0,415979.216667,2017-06-15 20:13:00,LG
0.0,415979.466667,2017-06-15 20:28:00,LG
0.0,415979.716667,2017-06-15 20:43:00,LG
0.0,415979.966667,2017-06-15 20:58:00,LG
0.0,415980.216667,2017-06-15 21:13:00,LG
0.0,415980.466667,2017-06-15 21:28:00,LG
0.0,415980.716667,2017-06-15 21:43:00,LG
0.0,415980.966667,2017-06-15 21:58:00,LG
0.0,415981.216667,2017-06-15 22:13:00,LG
0.0,415981.466667,2017-06-15 22:28:00,LG
0.0,415981.716667,2017-06-15 22:43:00,LG
0.0,415981.966667,2017-06-15 22:58:00,LG
0.0,415982.216667,2017-06-15 23:13:00,LG
0.0,415982.466667,2017-06-15 23:28:00,LG
0.0,415982.716667,2017-06-15 23:43:00,LG
0.0,415982.966667,2017-06-15 23:58:00,LG
0.0,415983.216667,2017-06-16 00:13:00,LG
0.0,415983.466667,2017-06-16 00:28:00,LG
0.0,415983.716667,2017-06-16 00:43:00,LG
0.0,415983.966667,2017-06-16 00:58:00,LG
0.0,415984.216667,2017-06-16 01:13:00,LG
0.0,415984.466667,2017-06-16 01:28:00,LG
0.0,415984.716667,2017-06-16 01:43:00,LG
0.0,415984.966667,2017-06-16 01:58:00,LG
0.0,415985.216667,2017-06-16 02:13:00,LG
0.0,415985.466667,2017-06-16 02:28:00,LG
0.0,415985.716667,2017-06-16 02:43:00,LG
0.0,415985.966667,2017-06-16 02:58:00,LG
0.0,415986.216667,2017-06-16 03:13:00,LG
0.0,415986.466667,2017-06-16 03:28:00,LG
0.0,415986.716667,2017-06-16 03:43:00,LG
0.0,415986.966667,2017-06-16 03:58:00,LG
0.0,415987.216667,2017-06-16 04:13:00,LG
0.0,415987.466667,2017-06-16 04:28:00,LG
0.0,415987.716667,2017-06-16 04:43:00,LG
0.0,415987.966667,2017-06-16 04:58:00,LG
0.0,415988.216667,2017-06-16 05:13:00,LG
0.0,415988.466667,2017-06-16 05:28:00,LG
0.0,415988.716667,2017-06-16 05:43:00,LG
0.0,415988.966667,2017-06-16 05:58:00,LG
0.0,415989.216667,2017-06-16 06:13:00,LG
0.0,415989.466667,2017-06-16 06:28:00,LG
