scores,time_points,x,keyword
0.0,415777.25,2017-06-07 10:15:00,아디다스
0.0,415777.5,2017-06-07 10:30:00,아디다스
0.0,415777.75,2017-06-07 10:45:00,아디다스
0.0,415778.0,2017-06-07 11:00:00,아디다스
0.0,415778.25,2017-06-07 11:15:00,아디다스
0.0,415778.5,2017-06-07 11:30:00,아디다스
0.0,415778.75,2017-06-07 11:45:00,아디다스
0.0,415779.0,2017-06-07 12:00:00,아디다스
0.0,415779.25,2017-06-07 12:15:00,아디다스
0.0,415779.5,2017-06-07 12:30:00,아디다스
0.0,415779.75,2017-06-07 12:45:00,아디다스
0.0,415780.0,2017-06-07 13:00:00,아디다스
0.0,415780.25,2017-06-07 13:15:00,아디다스
0.0,415780.5,2017-06-07 13:30:00,아디다스
0.0,415780.75,2017-06-07 13:45:00,아디다스
0.0,415781.0,2017-06-07 14:00:00,아디다스
0.0,415781.25,2017-06-07 14:15:00,아디다스
0.0,415781.5,2017-06-07 14:30:00,아디다스
0.0,415781.75,2017-06-07 14:45:00,아디다스
0.0,415782.0,2017-06-07 15:00:00,아디다스
0.0,415782.25,2017-06-07 15:15:00,아디다스
0.0,415782.5,2017-06-07 15:30:00,아디다스
0.0,415782.75,2017-06-07 15:45:00,아디다스
0.0,415783.0,2017-06-07 16:00:00,아디다스
0.0,415783.25,2017-06-07 16:15:00,아디다스
0.0,415783.5,2017-06-07 16:30:00,아디다스
0.0,415783.75,2017-06-07 16:45:00,아디다스
0.0,415784.0,2017-06-07 17:00:00,아디다스
0.0,415784.25,2017-06-07 17:15:00,아디다스
0.0,415784.5,2017-06-07 17:30:00,아디다스
0.0,415784.75,2017-06-07 17:45:00,아디다스
0.0,415785.0,2017-06-07 18:00:00,아디다스
0.0,415785.25,2017-06-07 18:15:00,아디다스
0.0,415785.5,2017-06-07 18:30:00,아디다스
0.0,415785.75,2017-06-07 18:45:00,아디다스
0.0,415786.0,2017-06-07 19:00:00,아디다스
0.0,415786.25,2017-06-07 19:15:00,아디다스
0.0,415786.5,2017-06-07 19:30:00,아디다스
0.0,415786.75,2017-06-07 19:45:00,아디다스
0.0,415787.0,2017-06-07 20:00:00,아디다스
0.0,415787.25,2017-06-07 20:15:00,아디다스
0.0,415787.5,2017-06-07 20:30:00,아디다스
0.0,415787.75,2017-06-07 20:45:00,아디다스
0.0,415788.0,2017-06-07 21:00:00,아디다스
0.0,415788.25,2017-06-07 21:15:00,아디다스
0.0,415788.5,2017-06-07 21:30:00,아디다스
0.0,415788.75,2017-06-07 21:45:00,아디다스
0.0,415789.0,2017-06-07 22:00:00,아디다스
0.0,415789.25,2017-06-07 22:15:00,아디다스
0.0,415789.5,2017-06-07 22:30:00,아디다스
0.0,415789.75,2017-06-07 22:45:00,아디다스
0.0,415790.0,2017-06-07 23:00:00,아디다스
0.0,415790.25,2017-06-07 23:15:00,아디다스
0.0,415790.5,2017-06-07 23:30:00,아디다스
0.0,415790.75,2017-06-07 23:45:00,아디다스
0.0,415791.0,2017-06-08 00:00:00,아디다스
0.0,415791.25,2017-06-08 00:15:00,아디다스
0.0,415791.5,2017-06-08 00:30:00,아디다스
0.0,415791.75,2017-06-08 00:45:00,아디다스
0.0,415792.0,2017-06-08 01:00:00,아디다스
0.0,415792.25,2017-06-08 01:15:00,아디다스
0.0,415792.5,2017-06-08 01:30:00,아디다스
0.0,415792.75,2017-06-08 01:45:00,아디다스
0.0,415793.0,2017-06-08 02:00:00,아디다스
0.0,415793.25,2017-06-08 02:15:00,아디다스
0.0,415793.5,2017-06-08 02:30:00,아디다스
0.0,415793.75,2017-06-08 02:45:00,아디다스
0.0,415794.0,2017-06-08 03:00:00,아디다스
0.0,415794.25,2017-06-08 03:15:00,아디다스
0.0,415794.5,2017-06-08 03:30:00,아디다스
0.0,415794.75,2017-06-08 03:45:00,아디다스
0.0,415795.0,2017-06-08 04:00:00,아디다스
0.0,415795.25,2017-06-08 04:15:00,아디다스
0.0,415795.5,2017-06-08 04:30:00,아디다스
0.0,415795.75,2017-06-08 04:45:00,아디다스
0.0,415796.0,2017-06-08 05:00:00,아디다스
0.0,415796.25,2017-06-08 05:15:00,아디다스
0.0,415796.5,2017-06-08 05:30:00,아디다스
0.0,415796.75,2017-06-08 05:45:00,아디다스
0.0,415797.0,2017-06-08 06:00:00,아디다스
0.0,415797.25,2017-06-08 06:15:00,아디다스
0.0,415797.5,2017-06-08 06:30:00,아디다스
0.0,415797.75,2017-06-08 06:45:00,아디다스
0.0,415798.0,2017-06-08 07:00:00,아디다스
0.0,415798.25,2017-06-08 07:15:00,아디다스
0.0,415798.5,2017-06-08 07:30:00,아디다스
0.0,415798.75,2017-06-08 07:45:00,아디다스
0.0,415799.0,2017-06-08 08:00:00,아디다스
0.0,415799.25,2017-06-08 08:15:00,아디다스
0.0,415799.5,2017-06-08 08:30:00,아디다스
0.0,415799.75,2017-06-08 08:45:00,아디다스
0.0,415800.0,2017-06-08 09:00:00,아디다스
0.0,415800.25,2017-06-08 09:15:00,아디다스
0.0,415800.5,2017-06-08 09:30:00,아디다스
0.0,415800.75,2017-06-08 09:45:00,아디다스
0.0,415801.0,2017-06-08 10:00:00,아디다스
0.0,415801.25,2017-06-08 10:15:00,아디다스
0.0,415801.5,2017-06-08 10:30:00,아디다스
0.0,415801.75,2017-06-08 10:45:00,아디다스
0.0,415802.0,2017-06-08 11:00:00,아디다스
0.0,415802.25,2017-06-08 11:15:00,아디다스
0.0,415802.5,2017-06-08 11:30:00,아디다스
0.0,415802.75,2017-06-08 11:45:00,아디다스
0.0,415803.0,2017-06-08 12:00:00,아디다스
0.0,415803.25,2017-06-08 12:15:00,아디다스
0.0,415803.5,2017-06-08 12:30:00,아디다스
0.0,415803.75,2017-06-08 12:45:00,아디다스
