author,board_id,clicks,comment_n,content,key,likes,register_date,title
토파즈 KH12666(pks4****),03ed4adf229543d2b3e160ca8094ce5b,6947,61.0,"[기프트샵 공식 밴드] 밴드 세상 모든 선물들을 소개합니다. 기프트샵 band.us 링크 ↑↑↑ 밴드 어플 기프트샵 가시면 있습니다. (^_^) 1인 1개 한정 발행후 30일까지 사용가능 기간 연장 불가 [쿠폰 확인 방법] 문자로 발송되는 것이 아니라 ""기프트샵 - MY - 보관함 - 쿠폰상품"" 에서 구매하신 쿠폰을 확인하실 수 있습니다.",스타벅스,17,2017-06-14 16:01:00,"[종료] 스타벅스 아메리카노 쿠폰 ￦3,080원"
별하나 KY28265(wang****),185d774ebac0475c8aee5fde9e5be19b,826,10.0,"독일스벅은 좀 쉽죠 잉~^^ 원두필요하심 들어가보세요 3+1하네요 code 는 EXPLORE 배대지는 몰테일 독일로.. 할인기간은 미국시간으로 6/19일까지네요 신규 추가 10프로 가능하다합니다♡ 코드 STNPWEKD -자아실현님 , 아이님댓글 보고 수정했습니다~(감사^^;) http://shop-en.starbucks.de/on/demandware.store/Sites-StarbucksDE-Site/en_DE/Default-Start?utm_source=ecomm&utm_medium=email&utm_campaign=Promotional&utm_content=0612_B3G1Free_DE_EN&utm_term=navlogo",스타벅스,2,2017-06-13 19:46:00,[기타][독일 스타벅스]원두 3+1하네요~
에붕이yoolive(yool****),24cb5c0421bc4d58a6a608aa20486e12,91,3.0,스타벅스 금액세일 들어갔네요 영국은 50파운드에 10파운드 독일은 50유로에 10유로 할인이에요 따로 코드는 없는거 같고 17일 까지래요 유럽스벅은 카드도 잘받아주니 필요하신분 소소히 지를만 한거 같아요 Starbucks.co.de,스타벅스,0,2017-07-11 18:33:00,스타벅스 50유로에 10유로(파운드도)할인
부농야옹이KY8378(savi****),2fa7d0e533ee4aff83a17296a6c562b1,4750,,코어라서 한정 상품이 아니긴 한데 코어도 원하는 건 쉽게 살 수 없더라고요;; 암튼 코어 제품이긴 해요 13000원 얘는 15000원 얘는 만원 콜드컵 17000원 이건 31000원 프렌치 프레스 2종은 31000/35000 드리퍼는 18000,스타벅스,4,2017-06-20 05:40:00,6/20 출시 스타벅스 신규 코어 MD
윙크사자lee20sm(lee2****),34d2aafe2e1944af96aa502eae1c5786,2168,,11번가 페이코 쿠폰 3000원권 적용시 스타벅스 하트 파이 4개가 9800원 됩니다. 이상품을 추천하는 이유는 스타벅스 기프트는 금액권으로 사용 가능해서요. 여기에 스타벅스 카드에서 900원 결제하면 아메리카노를 먹고 별을 적립할수 있다는것에 아주 큰 메리트가 있습니다. 저는 항상 아이스 아메리카노를 즐겨 아시는데 아메리카노 기프트를 사용하면 별적립이 안되서 하트파이 기프트콘을 사용 하는데 3000원 싸게 살수있어서 4장 사고 국딜에 올립니다. http://11st.kr/!B0P2Dq,스타벅스,9,2017-07-05 10:36:00,11번가 스타벅스 하트파이 4개 12800원 페이코쿠폰 적용시 9800원
별당케 KH20826(mins****),34ee52ec59974a72a45e082c7aaf3bd7,375,2.0,http://www.mystarbucksmoment.com/mileage/ 음료드시고 스탬프6개 모아서 응모 하시는거에요~^^ 에나멜머그가 너무 탐나고 이뻐서 올려드려요~☆,스타벅스,1,2017-07-10 23:25:00,정보) 스타벅스 스타마일리지 7월 이벤트 (에나멜머그+더블샷2개)
부농야옹이KY8378(savi****),48d69f36b2ee4534a74de3ca22a81a55,1937,,콜드브루 포함 25000원 이상 구매시.. 금액이 좀 쎄네요 ㅠ https://m.facebook.com/story.php?story_fbid=1441441959256495&id=122271421173562,스타벅스,3,2017-06-21 17:40:00,스타벅스 메이슨자 증정 이벤트(6/22)부터
바비 pupa32(barb****),48f408683d7a430ab1a2c941ca92f1cb,5388,16.0,"스타벅스 7days Tri Star Dash! 6월 8일~14일까지등록된 스벅카드 결제 시 별3개추가 적립입니다. 신규음료라 복불복이지만…저는 한번 도전해 보려구요.^^ 신규음료 4가지네요~ 문경 오미자 피지오, 슈 크림 딸기 프라푸치노, 상그리아 말차 그린티, 상그리아 레드 티~",스타벅스,41,2017-06-07 20:12:00,스타벅스 7days Tri Star Dash! 스벅카드 결제 시 별3개추가 적립!
별당케 KH20826(mins****),64be56c4699844a59def9959dc2027ba,1798,,[G마켓]스타벅스 화이트초콜릿모카 200ml x10입 http://mitem.gmarket.co.kr/Item?goodscode=747903573 유효기간 7/18~20 전 회사용으로 쟁입니다. 살찌는건 책임 못져요ㅎㅎ,스타벅스,8,2017-06-29 12:06:00,"[G마켓] 스타벅스 화이트초코릿모카 200ml 10개 9,800원"
사쿨 KC6382(mega****),67e18b7617a14b43a20dfeee14f00312,1348,34.0,http://store.starbucks.com/?utm_source=ecomm&utm_medium=email&utm_campaign=Promotional&utm_content=0613_Choose_your_Savings_US&utm_term=hero 금액대별로 할인 금액 달라져요 100불 잘 맞춰 채우면 30% 나 마찬가지겠네요 안 알려진 배대지로 도전~~;; * 미국 스타벅스 세일하면 비슷하게 유럽도 세일하더라구요 ㅎㅎ 캡슐 세일 기다리시는 분들 참고 하세요~^^,스타벅스,1,2017-06-14 00:54:00,[기타]미국 스타벅스 100불 이상 30불 할인/50불 이상 프리쉽
우레나 cucu9000(cucu****),74b28a7dc9d7442c92a54c891658d9e5,766,,"● ?초대/소셜커머스 사이트?-?링크를 통해 적립금/크레딧 발생하는 게시물은 어떠한 경우에도 작성하실 수 없습니다. ? ??(퀸시, 지구인 등?포함 모든??초대링크 일절 금지, 작성 시 7일 활동 정지. 지속적 게시할 경우 강퇴처리) ???? 또한 적립금 미포함 상태에서의 핫딜만 게시 가능합니다. ● ?중복게시글은 삭제됩니다. ● 금전적 이득을 취하는 행위 및 광고/홍보 행위는 허용하지 않습니다. ? ? ? ? ? ? ? 가스불 켜고 주전자로 물끓이기 덥고 귀찮아서 전기포트 살까 했는데 전자랜드에서 핫딜로 28,000원에 파네요ㅋㅋ 배송비 없이 28,000원에다 한 줄짜리 후기만 써도 스타벅스 음료도 준다고 해서 초초초 갈등중이예요ㅋㅋㅋ 위메프(27,900원)랑 100원 차이인데 커피값은 100원 넘잖아요ㅋㅋㅋ 링크 두고 갈게요 http://www.etland.co.kr/pc/product/product.do?prdMstCd=1094867&planIdx=219 ? ? ▣ 몰스에서는 서로에게 최소한의 예의를 지켜야하며, 광고, 악성덧글, 상처를 줄수 있는 덧글, 비방글, 확인되지 않은?마녀사냥이 될수 있는 글은??바로 활동정지 및 강퇴됩니다.",스타벅스,0,2017-06-23 18:24:00,"테팔 전기포트 28,000원에다 스타벅스 아메리카노 같이 주네요"
아보카도 oksk(juju****),829acdafa1694a2bb839a1203b8a934a,5179,25.0,몇달전 몰스국딜로 처음 알게된 기프티쇼 이벤트인데 이번에도 또 하기에 정보차 올려봅니다. 스타벅스 아메 5잔을 구입하면 1잔을 7월11일에 증정해주는 이벤트예요. 결제할때 문자가 아닌 보관함으로 받을시 개당100원이 할인되고요. 5잔을 2만원에 결제. 계산하면 잔당 3333.3333333 결제후 신청하기를 누르면 이런 어피스폼이 뜹니다. 이걸 꼭 제출해야 추가1잔을 받을수있어요~ 추가) 꼭 스벅 아메가 아니어도 해당품목내 5잔이면 돼요~. 2500~3000원짜리 5개 사도 스벅 아메 1잔 받는거에요.,스타벅스,15,2017-06-18 11:33:00,기프티쇼 5+1 스타벅스 아메리카노 이벤트
