scores,time_points,x,keyword
0.0,415787.2,2017-06-07 20:12:00,POLO
0.0,415787.45,2017-06-07 20:27:00,POLO
0.0,415787.7,2017-06-07 20:42:00,POLO
0.0,415787.95,2017-06-07 20:57:00,POLO
0.0,415788.2,2017-06-07 21:12:00,POLO
0.0,415788.45,2017-06-07 21:27:00,POLO
0.0,415788.7,2017-06-07 21:42:00,POLO
0.0,415788.95,2017-06-07 21:57:00,POLO
0.0,415789.2,2017-06-07 22:12:00,POLO
0.0,415789.45,2017-06-07 22:27:00,POLO
0.0,415789.7,2017-06-07 22:42:00,POLO
0.0,415789.95,2017-06-07 22:57:00,POLO
0.0,415790.2,2017-06-07 23:12:00,POLO
0.0,415790.45,2017-06-07 23:27:00,POLO
0.0,415790.7,2017-06-07 23:42:00,POLO
0.0,415790.95,2017-06-07 23:57:00,POLO
0.0,415791.2,2017-06-08 00:12:00,POLO
0.0,415791.45,2017-06-08 00:27:00,POLO
0.0,415791.7,2017-06-08 00:42:00,POLO
0.0,415791.95,2017-06-08 00:57:00,POLO
0.0,415792.2,2017-06-08 01:12:00,POLO
0.0,415792.45,2017-06-08 01:27:00,POLO
0.0,415792.7,2017-06-08 01:42:00,POLO
0.0,415792.95,2017-06-08 01:57:00,POLO
0.0,415793.2,2017-06-08 02:12:00,POLO
0.0,415793.45,2017-06-08 02:27:00,POLO
0.0,415793.7,2017-06-08 02:42:00,POLO
0.0,415793.95,2017-06-08 02:57:00,POLO
0.0,415794.2,2017-06-08 03:12:00,POLO
0.0,415794.45,2017-06-08 03:27:00,POLO
0.0,415794.7,2017-06-08 03:42:00,POLO
0.0,415794.95,2017-06-08 03:57:00,POLO
0.0,415795.2,2017-06-08 04:12:00,POLO
0.0,415795.45,2017-06-08 04:27:00,POLO
0.0,415795.7,2017-06-08 04:42:00,POLO
0.0,415795.95,2017-06-08 04:57:00,POLO
0.0,415796.2,2017-06-08 05:12:00,POLO
0.0,415796.45,2017-06-08 05:27:00,POLO
0.0,415796.7,2017-06-08 05:42:00,POLO
0.0,415796.95,2017-06-08 05:57:00,POLO
0.0,415797.2,2017-06-08 06:12:00,POLO
0.0,415797.45,2017-06-08 06:27:00,POLO
0.0,415797.7,2017-06-08 06:42:00,POLO
0.0,415797.95,2017-06-08 06:57:00,POLO
0.0,415798.2,2017-06-08 07:12:00,POLO
0.0,415798.45,2017-06-08 07:27:00,POLO
0.0,415798.7,2017-06-08 07:42:00,POLO
0.0,415798.95,2017-06-08 07:57:00,POLO
0.0,415799.2,2017-06-08 08:12:00,POLO
0.0,415799.45,2017-06-08 08:27:00,POLO
0.0,415799.7,2017-06-08 08:42:00,POLO
0.0,415799.95,2017-06-08 08:57:00,POLO
0.0,415800.2,2017-06-08 09:12:00,POLO
0.0,415800.45,2017-06-08 09:27:00,POLO
0.0,415800.7,2017-06-08 09:42:00,POLO
0.0,415800.95,2017-06-08 09:57:00,POLO
0.0,415801.2,2017-06-08 10:12:00,POLO
0.0,415801.45,2017-06-08 10:27:00,POLO
0.0,415801.7,2017-06-08 10:42:00,POLO
0.0,415801.95,2017-06-08 10:57:00,POLO
0.0,415802.2,2017-06-08 11:12:00,POLO
0.0,415802.45,2017-06-08 11:27:00,POLO
0.0,415802.7,2017-06-08 11:42:00,POLO
0.0,415802.95,2017-06-08 11:57:00,POLO
0.0,415803.2,2017-06-08 12:12:00,POLO
0.0,415803.45,2017-06-08 12:27:00,POLO
0.0,415803.7,2017-06-08 12:42:00,POLO
0.0,415803.95,2017-06-08 12:57:00,POLO
0.0,415804.2,2017-06-08 13:12:00,POLO
0.0,415804.45,2017-06-08 13:27:00,POLO
0.0,415804.7,2017-06-08 13:42:00,POLO
0.0,415804.95,2017-06-08 13:57:00,POLO
0.0,415805.2,2017-06-08 14:12:00,POLO
0.0,415805.45,2017-06-08 14:27:00,POLO
0.0,415805.7,2017-06-08 14:42:00,POLO
0.0,415805.95,2017-06-08 14:57:00,POLO
0.0,415806.2,2017-06-08 15:12:00,POLO
0.0,415806.45,2017-06-08 15:27:00,POLO
0.0,415806.7,2017-06-08 15:42:00,POLO
0.0,415806.95,2017-06-08 15:57:00,POLO
0.0,415807.2,2017-06-08 16:12:00,POLO
0.0,415807.45,2017-06-08 16:27:00,POLO
0.0,415807.7,2017-06-08 16:42:00,POLO
0.0,415807.95,2017-06-08 16:57:00,POLO
0.0,415808.2,2017-06-08 17:12:00,POLO
0.0,415808.45,2017-06-08 17:27:00,POLO
0.0,415808.7,2017-06-08 17:42:00,POLO
0.0,415808.95,2017-06-08 17:57:00,POLO
0.0,415809.2,2017-06-08 18:12:00,POLO
0.0,415809.45,2017-06-08 18:27:00,POLO
0.0,415809.7,2017-06-08 18:42:00,POLO
0.0,415809.95,2017-06-08 18:57:00,POLO
0.0,415810.2,2017-06-08 19:12:00,POLO
0.0,415810.45,2017-06-08 19:27:00,POLO
0.0,415810.7,2017-06-08 19:42:00,POLO
0.0,415810.95,2017-06-08 19:57:00,POLO
0.0,415811.2,2017-06-08 20:12:00,POLO
0.0,415811.45,2017-06-08 20:27:00,POLO
0.0,415811.7,2017-06-08 20:42:00,POLO
0.0,415811.95,2017-06-08 20:57:00,POLO
0.0,415812.2,2017-06-08 21:12:00,POLO
0.0,415812.45,2017-06-08 21:27:00,POLO
0.0,415812.7,2017-06-08 21:42:00,POLO
0.0,415812.95,2017-06-08 21:57:00,POLO
0.0,415813.2,2017-06-08 22:12:00,POLO
0.0,415813.45,2017-06-08 22:27:00,POLO
0.0,415813.7,2017-06-08 22:42:00,POLO
0.0,415813.95,2017-06-08 22:57:00,POLO
0.0,415814.2,2017-06-08 23:12:00,POLO
0.0,415814.45,2017-06-08 23:27:00,POLO
0.0,415814.7,2017-06-08 23:42:00,POLO
0.0,415814.95,2017-06-08 23:57:00,POLO
0.0,415815.2,2017-06-09 00:12:00,POLO
