scores,time_points,x,keyword
0.0,415826.783333,2017-06-09 11:47:00,보솜이
0.0,415827.033333,2017-06-09 12:02:00,보솜이
0.0,415827.283333,2017-06-09 12:17:00,보솜이
0.0,415827.533333,2017-06-09 12:32:00,보솜이
0.0,415827.783333,2017-06-09 12:47:00,보솜이
0.0,415828.033333,2017-06-09 13:02:00,보솜이
0.0,415828.283333,2017-06-09 13:17:00,보솜이
0.0,415828.533333,2017-06-09 13:32:00,보솜이
0.0,415828.783333,2017-06-09 13:47:00,보솜이
0.0,415829.033333,2017-06-09 14:02:00,보솜이
0.0,415829.283333,2017-06-09 14:17:00,보솜이
0.0,415829.533333,2017-06-09 14:32:00,보솜이
0.0,415829.783333,2017-06-09 14:47:00,보솜이
0.0,415830.033333,2017-06-09 15:02:00,보솜이
0.0,415830.283333,2017-06-09 15:17:00,보솜이
0.0,415830.533333,2017-06-09 15:32:00,보솜이
0.0,415830.783333,2017-06-09 15:47:00,보솜이
0.0,415831.033333,2017-06-09 16:02:00,보솜이
0.0,415831.283333,2017-06-09 16:17:00,보솜이
0.0,415831.533333,2017-06-09 16:32:00,보솜이
0.0,415831.783333,2017-06-09 16:47:00,보솜이
0.0,415832.033333,2017-06-09 17:02:00,보솜이
0.0,415832.283333,2017-06-09 17:17:00,보솜이
0.0,415832.533333,2017-06-09 17:32:00,보솜이
0.0,415832.783333,2017-06-09 17:47:00,보솜이
0.0,415833.033333,2017-06-09 18:02:00,보솜이
0.0,415833.283333,2017-06-09 18:17:00,보솜이
0.0,415833.533333,2017-06-09 18:32:00,보솜이
0.0,415833.783333,2017-06-09 18:47:00,보솜이
0.0,415834.033333,2017-06-09 19:02:00,보솜이
0.0,415834.283333,2017-06-09 19:17:00,보솜이
0.0,415834.533333,2017-06-09 19:32:00,보솜이
0.0,415834.783333,2017-06-09 19:47:00,보솜이
0.0,415835.033333,2017-06-09 20:02:00,보솜이
0.0,415835.283333,2017-06-09 20:17:00,보솜이
0.0,415835.533333,2017-06-09 20:32:00,보솜이
0.0,415835.783333,2017-06-09 20:47:00,보솜이
0.0,415836.033333,2017-06-09 21:02:00,보솜이
0.0,415836.283333,2017-06-09 21:17:00,보솜이
0.0,415836.533333,2017-06-09 21:32:00,보솜이
0.0,415836.783333,2017-06-09 21:47:00,보솜이
0.0,415837.033333,2017-06-09 22:02:00,보솜이
0.0,415837.283333,2017-06-09 22:17:00,보솜이
0.0,415837.533333,2017-06-09 22:32:00,보솜이
0.0,415837.783333,2017-06-09 22:47:00,보솜이
0.0,415838.033333,2017-06-09 23:02:00,보솜이
0.0,415838.283333,2017-06-09 23:17:00,보솜이
0.0,415838.533333,2017-06-09 23:32:00,보솜이
0.0,415838.783333,2017-06-09 23:47:00,보솜이
0.0,415839.033333,2017-06-10 00:02:00,보솜이
0.0,415839.283333,2017-06-10 00:17:00,보솜이
0.0,415839.533333,2017-06-10 00:32:00,보솜이
0.0,415839.783333,2017-06-10 00:47:00,보솜이
0.0,415840.033333,2017-06-10 01:02:00,보솜이
0.0,415840.283333,2017-06-10 01:17:00,보솜이
0.0,415840.533333,2017-06-10 01:32:00,보솜이
0.0,415840.783333,2017-06-10 01:47:00,보솜이
0.0,415841.033333,2017-06-10 02:02:00,보솜이
0.0,415841.283333,2017-06-10 02:17:00,보솜이
0.0,415841.533333,2017-06-10 02:32:00,보솜이
0.0,415841.783333,2017-06-10 02:47:00,보솜이
0.0,415842.033333,2017-06-10 03:02:00,보솜이
0.0,415842.283333,2017-06-10 03:17:00,보솜이
0.0,415842.533333,2017-06-10 03:32:00,보솜이
0.0,415842.783333,2017-06-10 03:47:00,보솜이
0.0,415843.033333,2017-06-10 04:02:00,보솜이
0.0,415843.283333,2017-06-10 04:17:00,보솜이
0.0,415843.533333,2017-06-10 04:32:00,보솜이
0.0,415843.783333,2017-06-10 04:47:00,보솜이
0.0,415844.033333,2017-06-10 05:02:00,보솜이
0.0,415844.283333,2017-06-10 05:17:00,보솜이
0.0,415844.533333,2017-06-10 05:32:00,보솜이
0.0,415844.783333,2017-06-10 05:47:00,보솜이
0.0,415845.033333,2017-06-10 06:02:00,보솜이
0.0,415845.283333,2017-06-10 06:17:00,보솜이
0.0,415845.533333,2017-06-10 06:32:00,보솜이
0.0,415845.783333,2017-06-10 06:47:00,보솜이
0.0,415846.033333,2017-06-10 07:02:00,보솜이
0.0,415846.283333,2017-06-10 07:17:00,보솜이
0.0,415846.533333,2017-06-10 07:32:00,보솜이
0.0,415846.783333,2017-06-10 07:47:00,보솜이
0.0,415847.033333,2017-06-10 08:02:00,보솜이
0.0,415847.283333,2017-06-10 08:17:00,보솜이
0.0,415847.533333,2017-06-10 08:32:00,보솜이
0.0,415847.783333,2017-06-10 08:47:00,보솜이
0.0,415848.033333,2017-06-10 09:02:00,보솜이
0.0,415848.283333,2017-06-10 09:17:00,보솜이
0.0,415848.533333,2017-06-10 09:32:00,보솜이
0.0,415848.783333,2017-06-10 09:47:00,보솜이
0.0,415849.033333,2017-06-10 10:02:00,보솜이
0.0,415849.283333,2017-06-10 10:17:00,보솜이
0.0,415849.533333,2017-06-10 10:32:00,보솜이
0.0,415849.783333,2017-06-10 10:47:00,보솜이
0.0,415850.033333,2017-06-10 11:02:00,보솜이
0.0,415850.283333,2017-06-10 11:17:00,보솜이
