scores,time_points,x,keyword
0.0,415840.15,2017-06-10 01:09:00,물걸레청소기
0.0,415840.4,2017-06-10 01:24:00,물걸레청소기
0.0,415840.65,2017-06-10 01:39:00,물걸레청소기
0.0,415840.9,2017-06-10 01:54:00,물걸레청소기
0.0,415841.15,2017-06-10 02:09:00,물걸레청소기
0.0,415841.4,2017-06-10 02:24:00,물걸레청소기
0.0,415841.65,2017-06-10 02:39:00,물걸레청소기
0.0,415841.9,2017-06-10 02:54:00,물걸레청소기
0.0,415842.15,2017-06-10 03:09:00,물걸레청소기
0.0,415842.4,2017-06-10 03:24:00,물걸레청소기
0.0,415842.65,2017-06-10 03:39:00,물걸레청소기
0.0,415842.9,2017-06-10 03:54:00,물걸레청소기
0.0,415843.15,2017-06-10 04:09:00,물걸레청소기
0.0,415843.4,2017-06-10 04:24:00,물걸레청소기
0.0,415843.65,2017-06-10 04:39:00,물걸레청소기
0.0,415843.9,2017-06-10 04:54:00,물걸레청소기
0.0,415844.15,2017-06-10 05:09:00,물걸레청소기
0.0,415844.4,2017-06-10 05:24:00,물걸레청소기
0.0,415844.65,2017-06-10 05:39:00,물걸레청소기
0.0,415844.9,2017-06-10 05:54:00,물걸레청소기
0.0,415845.15,2017-06-10 06:09:00,물걸레청소기
0.0,415845.4,2017-06-10 06:24:00,물걸레청소기
0.0,415845.65,2017-06-10 06:39:00,물걸레청소기
0.0,415845.9,2017-06-10 06:54:00,물걸레청소기
0.0,415846.15,2017-06-10 07:09:00,물걸레청소기
0.0,415846.4,2017-06-10 07:24:00,물걸레청소기
0.0,415846.65,2017-06-10 07:39:00,물걸레청소기
0.0,415846.9,2017-06-10 07:54:00,물걸레청소기
0.0,415847.15,2017-06-10 08:09:00,물걸레청소기
0.0,415847.4,2017-06-10 08:24:00,물걸레청소기
0.0,415847.65,2017-06-10 08:39:00,물걸레청소기
0.0,415847.9,2017-06-10 08:54:00,물걸레청소기
0.0,415848.15,2017-06-10 09:09:00,물걸레청소기
0.0,415848.4,2017-06-10 09:24:00,물걸레청소기
0.0,415848.65,2017-06-10 09:39:00,물걸레청소기
0.0,415848.9,2017-06-10 09:54:00,물걸레청소기
0.0,415849.15,2017-06-10 10:09:00,물걸레청소기
0.0,415849.4,2017-06-10 10:24:00,물걸레청소기
0.0,415849.65,2017-06-10 10:39:00,물걸레청소기
0.0,415849.9,2017-06-10 10:54:00,물걸레청소기
0.0,415850.15,2017-06-10 11:09:00,물걸레청소기
0.0,415850.4,2017-06-10 11:24:00,물걸레청소기
0.0,415850.65,2017-06-10 11:39:00,물걸레청소기
0.0,415850.9,2017-06-10 11:54:00,물걸레청소기
0.0,415851.15,2017-06-10 12:09:00,물걸레청소기
0.0,415851.4,2017-06-10 12:24:00,물걸레청소기
0.0,415851.65,2017-06-10 12:39:00,물걸레청소기
0.0,415851.9,2017-06-10 12:54:00,물걸레청소기
0.0,415852.15,2017-06-10 13:09:00,물걸레청소기
0.0,415852.4,2017-06-10 13:24:00,물걸레청소기
0.0,415852.65,2017-06-10 13:39:00,물걸레청소기
0.0,415852.9,2017-06-10 13:54:00,물걸레청소기
0.0,415853.15,2017-06-10 14:09:00,물걸레청소기
0.0,415853.4,2017-06-10 14:24:00,물걸레청소기
0.0,415853.65,2017-06-10 14:39:00,물걸레청소기
0.0,415853.9,2017-06-10 14:54:00,물걸레청소기
0.0,415854.15,2017-06-10 15:09:00,물걸레청소기
0.0,415854.4,2017-06-10 15:24:00,물걸레청소기
0.0,415854.65,2017-06-10 15:39:00,물걸레청소기
0.0,415854.9,2017-06-10 15:54:00,물걸레청소기
0.0,415855.15,2017-06-10 16:09:00,물걸레청소기
0.0,415855.4,2017-06-10 16:24:00,물걸레청소기
0.0,415855.65,2017-06-10 16:39:00,물걸레청소기
0.0,415855.9,2017-06-10 16:54:00,물걸레청소기
0.0,415856.15,2017-06-10 17:09:00,물걸레청소기
0.0,415856.4,2017-06-10 17:24:00,물걸레청소기
0.0,415856.65,2017-06-10 17:39:00,물걸레청소기
0.0,415856.9,2017-06-10 17:54:00,물걸레청소기
0.0,415857.15,2017-06-10 18:09:00,물걸레청소기
0.0,415857.4,2017-06-10 18:24:00,물걸레청소기
0.0,415857.65,2017-06-10 18:39:00,물걸레청소기
0.0,415857.9,2017-06-10 18:54:00,물걸레청소기
0.0,415858.15,2017-06-10 19:09:00,물걸레청소기
0.0,415858.4,2017-06-10 19:24:00,물걸레청소기
0.0,415858.65,2017-06-10 19:39:00,물걸레청소기
0.0,415858.9,2017-06-10 19:54:00,물걸레청소기
0.0,415859.15,2017-06-10 20:09:00,물걸레청소기
0.0,415859.4,2017-06-10 20:24:00,물걸레청소기
0.0,415859.65,2017-06-10 20:39:00,물걸레청소기
0.0,415859.9,2017-06-10 20:54:00,물걸레청소기
0.0,415860.15,2017-06-10 21:09:00,물걸레청소기
0.0,415860.4,2017-06-10 21:24:00,물걸레청소기
0.0,415860.65,2017-06-10 21:39:00,물걸레청소기
0.0,415860.9,2017-06-10 21:54:00,물걸레청소기
0.0,415861.15,2017-06-10 22:09:00,물걸레청소기
0.0,415861.4,2017-06-10 22:24:00,물걸레청소기
0.0,415861.65,2017-06-10 22:39:00,물걸레청소기
0.0,415861.9,2017-06-10 22:54:00,물걸레청소기
0.0,415862.15,2017-06-10 23:09:00,물걸레청소기
0.0,415862.4,2017-06-10 23:24:00,물걸레청소기
0.0,415862.65,2017-06-10 23:39:00,물걸레청소기
0.0,415862.9,2017-06-10 23:54:00,물걸레청소기
0.0,415863.15,2017-06-11 00:09:00,물걸레청소기
0.0,415863.4,2017-06-11 00:24:00,물걸레청소기
0.0,415863.65,2017-06-11 00:39:00,물걸레청소기
0.0,415863.9,2017-06-11 00:54:00,물걸레청소기
0.0,415864.15,2017-06-11 01:09:00,물걸레청소기
0.0,415864.4,2017-06-11 01:24:00,물걸레청소기
0.0,415864.65,2017-06-11 01:39:00,물걸레청소기
0.0,415864.9,2017-06-11 01:54:00,물걸레청소기
0.0,415865.15,2017-06-11 02:09:00,물걸레청소기
0.0,415865.4,2017-06-11 02:24:00,물걸레청소기
0.0,415865.65,2017-06-11 02:39:00,물걸레청소기
0.0,415865.9,2017-06-11 02:54:00,물걸레청소기
0.0,415866.15,2017-06-11 03:09:00,물걸레청소기
0.0,415866.4,2017-06-11 03:24:00,물걸레청소기
0.0,415866.65,2017-06-11 03:39:00,물걸레청소기
