author,board_id,clicks,comment_n,content,key,likes,register_date,title
효주맘dldkf16(dldk****),23c34d9e519d4fb9b3b89344626c294d,949,,슈퍼대디 물티슈랑 여름 기저귀 Cj에서 탐특가해여~ 일단 무배라 물티슈 질렀구요~ 슈퍼대디 여름 기저귀는 써본적 없는데 가격 좋아서 고민중이에여 ㅎㅎ 써본 맘 있음 후기좀 들려주심 지르는데 도움될듯요~마니 사믄 파우치 주나봐요 ㅎ가격 좋은듯요~ 링크: http://display.cjmall.com/m/mocode/M1017555,물티슈,8,2017-06-26 21:18:00,"슈퍼대디 물티슈, 여름 기저귀 체험팩 5900원+무배요~"
샤인럽 ljh0224(youm****),27af1a775db548c2a2028789ba09bb32,455,0.0,http://mapi.wemakeprice.com/mobile_app/direct_to_app/2335349 갠적으로 조이로이좋아는데 요건 매수도 70매인데 싼거같아영~ 오늘만특가로 떴네요 요거 아기한테도 쓰지만 데일리로 좋아영 오늘도 많이 덥네영;;,물티슈,2,2017-07-09 11:52:00,물티슈 10팩 7900원이네영
홍아가 minvie(minv****),296096ff46c3441bb657e66feebad819,3026,7.0,"전 청소할때 물티슈로 쓰거든요. 로봇 청소기에도 물티슈 대서 쓰고, 브라바에도 걸레 밑에 물티슈 대놓고 써요 ㅎㅎㅎ 이거 사봤는데, 좀 얇기는 해도 성분도 괜찮아서 청소 할때 좋은거 같아요. 물티슈 쟁이고 쓰시는 분들에게 추천해요~^^ http://www.coupang.com/vp/products/22436484?itemId=87103886&shareChannel=",물티슈,4,2017-06-12 20:50:00,답이답이다 물티슈 50% 해요~^^
찹찹wjdgml0413(jjun****),2f9b23293522448b8e57135fc33b72d3,1639,,"? http://item.gmarket.co.kr/Item?goodscode=584852942 물티슈 20팩인데 엄청 싸게샀어요~ 쿠폰이것저것 받아놨더니 너무 좋네요~ 요거 너무 두껍지도 얇지않아서 데일리로 쓰기좋아요~! 쓰시던분들은 지금이 찬스이신듯 ㅎㅎ ● ?초대/소셜커머스 사이트?-?링크를 통해 적립금/크레딧 발생하는 게시물은 어떠한 경우에도 작성하실 수 없습니다. ? ??(퀸시, 지구인 등?포함 모든??초대링크 일절 금지, 작성 시 7일 활동 정지. 지속적 게시할 경우 강퇴처리) ???? 또한 적립금 미포함 상태에서의 핫딜만 게시 가능합니다. ● ?중복게시글은 삭제됩니다. ● 금전적 이득을 취하는 행위 및 광고/홍보 행위는 허용하지 않습니다. ? ? ? ? ? ? ? ? ? ? ▣ 몰스에서는 서로에게 최소한의 예의를 지켜야하며, 광고, 악성덧글, 상처를 줄수 있는 덧글, 비방글, 확인되지 않은?마녀사냥이 될수 있는 글은??바로 활동정지 및 강퇴됩니다.",물티슈,4,2017-07-04 11:40:00,물티슈 20팩 행사해요~
라온juwon0424(12ju****),40a926f343e74b03925266332025dc53,0,,아래로 내려서 유아동20프로 쿠폰받으면 추가할인되서 캡형도 10팩에 13520원 나오네요. http://11st.kr/!B0OnEH,물티슈,0,2017-07-03 23:34:00,브라운물티슈 네이처캡형 10팩 13520원
로즈데이applelove(appl****),464488a017e94ce4b483c3684debc7d6,132,,"? ● ?초대/소셜커머스 사이트?-?링크를 통해 적립금/크레딧 발생하는 게시물은 어떠한 경우에도 작성하실 수 없습니다. ? ??(퀸시, 지구인 등?포함 모든??초대링크 일절 금지, 작성 시 7일 활동 정지. 지속적 게시할 경우 강퇴처리) ???? 또한 적립금 미포함 상태에서의 핫딜만 게시 가능합니다. ● ?중복게시글은 삭제됩니다. ● 금전적 이득을 취하는 행위 및 광고/홍보 행위는 허용하지 않습니다. ? ? 야외활동 많아지니 물티슈 많이 쓰게 되더라구요 위메프에서 순둥이 썸머애디션 물티슈 쿠폰적용되네요. ?패키지 넘 귀여워 두박스주문했더니 3만원 이상되서 4천원 할인 받았어요 ? ?http://www.wemakeprice.com/deal/adeal/2157837/?source=dealsearch&search_keyword=%EC%88%9C%EB%91%A5%EC%9D%B4&no=2&_service=3&_no=2 ? ? ? ? ? ? ? ? ? ? ? ? ▣ 몰스에서는 서로에게 최소한의 예의를 지켜야하며, 광고, 악성덧글, 상처를 줄수 있는 덧글, 비방글, 확인되지 않은?마녀사냥이 될수 있는 글은??바로 활동정지 및 강퇴됩니다. ? ?",물티슈,1,2017-06-21 10:54:00,썸머애디션 아기물티슈 쿠폰4천원 적용
여니맘 jenn09(roal****),4d95f99877db4df4930a1e632363e333,865,,릴리안 타임특가 보고 들어왔는데 이미 몇일전에 대량 구매 해버려서... ㅠㅠ 그래도 일단 무배니깐 한개 구매하고 물티슈도 구매 했어요~! 비야비야 리필 10팩에 10900원인데 검색해보니 최저가라서 일단 구매했어요 ㅋㅋ 비야비야 들어는 봤는데 써본진 않아서.. 향이랑 어떤지 후기 남겨주세요~ 괜찮으면 더 사놓으려구요 http://display.cjmall.com/m/mocode/M1017616,물티슈,2,2017-06-28 21:20:00,릴리안 생리대 5팩 9900 비야비야 물티슈 10팩 10900 타임특가 떳어요
띠링view0311(view****),56f83c5c260942bba23255aed680a6a0,1787,22.0,브라운 물티슈만 사용하는데요. 구매하려고보니 오늘 !! 7월7일 7시 7분 행사하네요. 한정수량 이고 무배 !!! 곧? 달려야겠어요. 두근두근 본품이랑 휴대용 다 있어서 더 좋아요. 아 카드할인까지받으면 더 싸게살수 있을거같아요. http://storefarm.naver.com/darker/products/443044197 본품럭키박스 http://storefarm.naver.com/darker/products/456153920 (휴대럭키박스),물티슈,18,2017-07-07 17:44:00,네이x 스토어팜 브라운물티슈 7777럭키박스~
꽃잎이Rhcdlvdl(lii1****),58cd84136fbc4e44bff0a6763fae8c96,9373,48.0,http://mitem.gmarket.co.kr/Item?goodscode=736068670 베베숲 물티슈 이정도면 국딜인가요? 지금 카카오선물하기에서 브라운 모이스쳐도 10팩에 12900원이던데... 고민 백만번 하고 있네요 ㅋㅋ 물티슈는 쟁여도 쟁여도 늪입니다 ㅋㅋㅋ 필요하신분 한번 보세요 ㅋㅋㅋ,물티슈,25,2017-06-13 18:32:00,베베숲 물티슈 이정도면 국딜인가요?
유후jjungh0710(jjun****),5d84a92b22024666aaefa3a244abe384,540,,"● ?초대/소셜커머스 사이트?-?링크를 통해 적립금/크레딧 발생하는 게시물은 어떠한 경우에도 작성하실 수 없습니다. ? ??(퀸시, 지구인 등?포함 모든??초대링크 일절 금지, 작성 시 7일 활동 정지. 지속적 게시할 경우 강퇴처리) ???? 또한 적립금 미포함 상태에서의 핫딜만 게시 가능합니다. ● ?중복게시글은 삭제됩니다. ● 금전적 이득을 취하는 행위 및 광고/홍보 행위는 허용하지 않습니다. ? ? ? ?http://itempage3.auction.co.kr/DetailView.aspx?itemno=A956500250 휴대용마침필요할때 봐서 바로 질렀네요 필요하신분들 고고~ 큰것도 필요하네서 같이 샀는데 제 쿠폰함에 이런이런 ㅋㅋ 쿠폰들이 있어서 적용하니 싸게산거같아영~ 다들 있으신 쿠폰체크해주시고~ㅎㅎ ? ? ? ? ? ? ? ▣ 몰스에서는 서로에게 최소한의 예의를 지켜야하며, 광고, 악성덧글, 상처를 줄수 있는 덧글, 비방글, 확인되지 않은?마녀사냥이 될수 있는 글은??바로 활동정지 및 강퇴됩니다.",물티슈,2,2017-06-28 10:14:00,옥션 조이로이 휴대용물티슈 세일하네영~
여니맘 jenn09(roal****),6c08da09a43847478a42ae7f11e2bcd8,509,0.0,브라운 물티슈 럭키박스 놓쳐서 엄청 아까웠는데 타임특가 찾았어요!! 브라운은 프리미엄 라인만 썼는데 모이스처랑 네이처 마일드가 엄청 싼거 같아서 일단 구매는 했어요 ㅋㅋ 혹시 써보신분들 어떤지 후기 좀 알려주세요~! http://display.cjmall.com/m/item/44790092?channelCode=50001002,물티슈,1,2017-07-07 23:06:00,브라운 물티슈 타임특가 떴어요!
연어샐러드 KS30214(bele****),6fd086ab21174464b3de1991fb826578,1992,26.0,위메프 더준다쿠폰 20% 써서 2400원 할인하면 10500원 나오ㅏ요 평량 50g 엠보싱 66매 입니당 http://mapi.wemakeprice.com/mobile_app/direct_to_app/1428950,물티슈,5,2017-06-08 08:40:00,꿈토리 물티슈 20팩 10500원
겸이 jjeb(jjeb****),71d7651655de4633acbb3230d7434390,1598,17.0,? ?http://wemakeprice.com/deal/adeal/2219875 ? ? 60g 70매 리필물티슈 엠보타입인데 가격이 9900원이예요 저번에 2박스 할인할때 사놨는제 두툼해서 괜찮았어요 ?,물티슈,6,2017-06-15 09:35:00,리필물티슈 60g 70매 9900원이네요
라이언 khshyh(khsh****),7400cd0d6a5441a5aeff40b23abbd956,1400,,"앙블랑 물티슈 민트 캡형으로 20% 쿠폰 적용해서, 저렴하게 11,920원에 구매 했어요~! ? 평도 좋은 것 같고, 요즘 많이들 쓰시는 것 같아서 구매해봤네요 ㅋㅋ ? http://deal.11st.co.kr/product/SellerProductDetail.tmall?method=getSellerProductDetail&prdNo=1281563948&trTypeCd=22&trCtgrNo=895019 ? ? ? ?",물티슈,3,2017-06-27 10:18:00,11번가 앙블랑 물티슈 저렴하네요~
