scores,time_points,x,keyword
0.0,415768.916667,2017-06-07 01:55:00,11번가
0.0,415769.166667,2017-06-07 02:10:00,11번가
0.0,415769.416667,2017-06-07 02:25:00,11번가
0.0,415769.666667,2017-06-07 02:40:00,11번가
0.0,415769.916667,2017-06-07 02:55:00,11번가
0.0,415770.166667,2017-06-07 03:10:00,11번가
0.0,415770.416667,2017-06-07 03:25:00,11번가
0.0,415770.666667,2017-06-07 03:40:00,11번가
0.0,415770.916667,2017-06-07 03:55:00,11번가
0.0,415771.166667,2017-06-07 04:10:00,11번가
0.0,415771.416667,2017-06-07 04:25:00,11번가
0.0,415771.666667,2017-06-07 04:40:00,11번가
0.0,415771.916667,2017-06-07 04:55:00,11번가
0.0,415772.166667,2017-06-07 05:10:00,11번가
0.0,415772.416667,2017-06-07 05:25:00,11번가
0.0,415772.666667,2017-06-07 05:40:00,11번가
0.0,415772.916667,2017-06-07 05:55:00,11번가
0.0,415773.166667,2017-06-07 06:10:00,11번가
0.0,415773.416667,2017-06-07 06:25:00,11번가
0.0,415773.666667,2017-06-07 06:40:00,11번가
0.0,415773.916667,2017-06-07 06:55:00,11번가
0.0,415774.166667,2017-06-07 07:10:00,11번가
0.0,415774.416667,2017-06-07 07:25:00,11번가
0.0,415774.666667,2017-06-07 07:40:00,11번가
0.0,415774.916667,2017-06-07 07:55:00,11번가
0.0,415775.166667,2017-06-07 08:10:00,11번가
0.0,415775.416667,2017-06-07 08:25:00,11번가
0.0,415775.666667,2017-06-07 08:40:00,11번가
0.0,415775.916667,2017-06-07 08:55:00,11번가
0.0,415776.166667,2017-06-07 09:10:00,11번가
0.0,415776.416667,2017-06-07 09:25:00,11번가
0.0,415776.666667,2017-06-07 09:40:00,11번가
0.0,415776.916667,2017-06-07 09:55:00,11번가
0.0,415777.166667,2017-06-07 10:10:00,11번가
0.0,415777.416667,2017-06-07 10:25:00,11번가
0.0,415777.666667,2017-06-07 10:40:00,11번가
0.0,415777.916667,2017-06-07 10:55:00,11번가
0.0,415778.166667,2017-06-07 11:10:00,11번가
0.0,415778.416667,2017-06-07 11:25:00,11번가
0.0,415778.666667,2017-06-07 11:40:00,11번가
0.0,415778.916667,2017-06-07 11:55:00,11번가
0.0,415779.166667,2017-06-07 12:10:00,11번가
0.0,415779.416667,2017-06-07 12:25:00,11번가
0.0,415779.666667,2017-06-07 12:40:00,11번가
0.0,415779.916667,2017-06-07 12:55:00,11번가
0.0,415780.166667,2017-06-07 13:10:00,11번가
0.0,415780.416667,2017-06-07 13:25:00,11번가
0.0,415780.666667,2017-06-07 13:40:00,11번가
0.0,415780.916667,2017-06-07 13:55:00,11번가
0.0,415781.166667,2017-06-07 14:10:00,11번가
0.0,415781.416667,2017-06-07 14:25:00,11번가
