author,board_id,clicks,comment_n,content,key,likes,register_date,title
라유봉봉 yulia7(yuli****),085c918e1de147d49f5c3e08d4d50579,3168,,[G마켓]HPM-100 130 200 유선 휴플러스 700 730 무선안마기 http://mitem.gmarket.co.kr/Item?goodscode=589825841 친정집에 보내드리려고 어깨 안마기 찾는 중인데 카페보니 지난 핫딜이 42000원이엇더라구요 쿠폰과 엘지멤버십 2000원 할인받으니 45700원나와요 가격 괜찮은 듯해서 올려보아요~~ ㅎㅎ,지마켓,7,2017-07-02 19:59:00,"(지마켓) 휴플러스 안마기 45,700원 (LG멤버쉽)"
서쪼옥 blues002(ggoc****),0a7f808e59944e58b4b5dcbe6327ebc7,1238,,"전 49,900원주고 구입했었는데 약간 더 싸네요^^ 가격대비 대박책이라 구입했는데 저도 만족하고 있어요~ 1탄이 더 인기있으니 품절되기전에 구입하세요! G마켓 - http://mitem.gmarket.co.kr/Item?goodscode=941017013",지마켓,4,2017-06-19 17:33:00,"[지마켓] 허니북 1탄 47,900원"
코나리irene468(tlag****),0e6d1d786e8046009570305936f4b4b0,781,,"파크론 PVC매트 99,000원 http://gmkt.kr/gnUMvF&200004731 오늘 슈퍼딜에 떴네요 언니가 이사가서 집들이 선물 줄까 알아보았는데 1+1 행사하고있어서 가격 좋은거같아요 아르데코랑 블루스팟 190사이즈에요 수량빠르게 빠지는거같으니 가보세요",지마켓,0,2017-06-23 09:16:00,지마켓 블루스팟 놀이방매트 1+1 99000
지혜 bbabac2(carc****),119678841abf4900a77c751fc5203dd4,3657,61.0,"● ?초대/소셜커머스 사이트?-?링크를 통해 적립금/크레딧 발생하는 게시물은 어떠한 경우에도 작성하실 수 없습니다. ? ??(퀸시, 지구인 등?포함 모든??초대링크 일절 금지, 작성 시 7일 활동 정지. 지속적 게시할 경우 강퇴처리) ???? 또한 적립금 미포함 상태에서의 핫딜만 게시 가능합니다. ● ?중복게시글은 삭제됩니다. ● 금전적 이득을 취하는 행위 및 광고/홍보 행위는 허용하지 않습니다. ? ? ? ? ? ? ? ? ? ?이제 전좌석 안전띠 법도 시행되서 카시트도 의무설치 해야 하고 꼭 법 아니어도 카시트 없이 안고 타는 건 아기한테 너무 위험한 일이라 무조건 카시트는 있어야 되는 것 같아요 지마켓 슈퍼딜 싸이벡스 유아 및 주니어용 카시트 37% 할인 299,000원에 무배에요 17년형 제품이고 가격비교사이트 최저가 대비 대략 10만원 가량 싸요 http://promotion.gmarket.co.kr/planview/plan.asp?sid=145309 여기서 물놀이 중복쿠폰 받으면 5,000원 더 싸게 구매 가능하구요 http://item.gmarket.co.kr/Item?goodscode=961335591 ? ? ? ? ▣ 몰스에서는 서로에게 최소한의 예의를 지켜야하며, 광고, 악성덧글, 상처를 줄수 있는 덧글, 비방글, 확인되지 않은?마녀사냥이 될수 있는 글은??바로 활동정지 및 강퇴됩니다.",지마켓,14,2017-06-16 11:53:00,"[지마켓 슈퍼딜] 싸이벡스 팔라스 엠픽스 유아/주니어용 카시트 299,000원 무배!"
꼬미 woods2(wood****),120548bfb0df4060a6f885aa41abe2c1,245,0.0,"? ? 기저귀 가격은 정가같은데, 사은품이 좋은거같아서 공유해요~~(초대박딜은 아니고 중딜같아요^^) ? 모바일: http://mitem.gmarket.co.kr/Item?goodsCode=747669469? pc: http://item.gmarket.co.kr/detailview/Item.asp?goodscode=747669469 ? ? 기저귀 6팩사면 미끄럼틀이나 어린이풀장 사은품으로 주네요~~ ? 풀장보다 미끄럼틀이 더 실용성있어서 저는 미끄럼틀 선택했어요^^ ? (근데..지마켓에서 아무리 쿠폰 받아도 103,200 보다 할인은 못받네요ㅜㅜ .. 혹시 추가로 할인 받으신분 계시면 댓글남겨주시면 감사하겠습니다^^) ? ? ? ? ? ? ? ? ? ? ? ? ? ? ● ?초대/소셜커머스 사이트?-?링크를 통해 적립금/크레딧 발생하는 게시물은 어떠한 경우에도 작성하실 수 없습니다. ? ??(퀸시, 지구인 등?포함 모든??초대링크 일절 금지, 작성 시 7일 활동 정지. 지속적 게시할 경우 강퇴처리) ???? 또한 적립금 미포함 상태에서의 핫딜만 게시 가능합니다. ● ?중복게시글은 삭제됩니다. ● 금전적 이득을 취하는 행위 및 광고/홍보 행위는 허용하지 않습니다. ? ? ? ? ? ? ? ? ? ? ? ▣ 몰스에서는 서로에게 최소한의 예의를 지켜야하며, 광고, 악성덧글, 상처를 줄수 있는 덧글, 비방글, 확인되지 않은?마녀사냥이 될수 있는 글은??바로 활동정지 및 강퇴됩니다. ? ?",지마켓,0,2017-07-12 14:14:00,지마켓 리베로기저귀 6팩+ 미끄럼틀 증정(사은품이 좋네요)
디오 intense9(inte****),299fe5f1336d41afb0ed43e4ad31130e,1997,4.0,"? ? 11번가 http://www.11st.co.kr/product/SellerProductDetail.tmall?method=getSellerProductDetail&prdNo=1730240673&NaPm=ct=j4th6ne8|ci=8b5704123aff6873d8bd4ddfb94e43bd516b264a|tr=slsl|sn=17703|hk=546174fa0509c493efd071a76098a80b801ce096&utm_term=&utm_campaign=-&utm_source=%B3%D7%C0%CC%B9%F6_PCS&utm_medium=%B0%A1%B0%DD%BA%F1%B1%B3 지마켓 http://item.gmarket.co.kr/DetailView/Item.asp?goodscode=937679952&GoodsSale=Y&jaehuid=200001169&NaPm=ct%3Dj4th79rs%7Cci%3D9f9cd0e96c050a14ef466bb8f0bdb3a5686c71ee%7Ctr%3Dslsl%7Csn%3D24%7Chk%3D556e51e97e1c05bda0abd46e75113e4ac1c7f815 기본 쿠폰 받고 보면 100원 차이라서..^^ 가지고 있는포인트에 따라 싸게 살 수 있을 것 같아요!!! ● ?초대/소셜커머스 사이트?-?링크를 통해 적립금/크레딧 발생하는 게시물은 어떠한 경우에도 작성하실 수 없습니다. ? ??(퀸시, 지구인 등?포함 모든??초대링크 일절 금지, 작성 시 7일 활동 정지. 지속적 게시할 경우 강퇴처리) ???? 또한 적립금 미포함 상태에서의 핫딜만 게시 가능합니다. ● ?중복게시글은 삭제됩니다. ● 금전적 이득을 취하는 행위 및 광고/홍보 행위는 허용하지 않습니다. ? ? ? ? ? ? ? ? ? ? ▣ 몰스에서는 서로에게 최소한의 예의를 지켜야하며, 광고, 악성덧글, 상처를 줄수 있는 덧글, 비방글, 확인되지 않은?마녀사냥이 될수 있는 글은??바로 활동정지 및 강퇴됩니다.",지마켓,3,2017-07-07 15:26:00,"11번가 & 지마켓 동시 !!! 보냉백 증정 !!! 26,900원 !!! 보솜이 천연코튼 썸머 1BOX"
엄마상어 leeway25(leew****),2ad87d2adf9d4dffb469830e36a53787,1734,,http://item.gmarket.co.kr/Item?goodscode=953666579&pos_shop_cd=SH&pos_class_cd=111111111&pos_class_kind=T&keyword_order=953666579&keyword_seqno=12295815013&search_keyword=953666579 물총준비하세용 ㅋㅋ 이제 장마라 이번주 저희동네 분수대도 다시 개방하겠죠ㅜㅜ?? 저도 사놓고 가뭄에 못 쓰고 있었는데 개시하러가야겠어요 잘 안고장나서 인기많더라구요 제가 산 것보다 싸서 올려요! Vip시면 10710원떨어져요,지마켓,5,2017-07-05 10:52:00,지마켓 vip 물총 너프워시아웃 10710
엄마상어 leeway25(leew****),2b7993a16e774e9b8f68856851a6e54e,650,15.0,http://item.gmarket.co.kr/Item?goodscode=271405555 가격괜찮네요 여름에는 냉장고에 넣어놓고 써요 120그램짜리보단 확실히 오래쓰네요,지마켓,5,2017-07-07 10:30:00,지마켓 베베가닉크림 1+1 30500
은찬맘msk02160607(msk0****),2c7dd436137640b69fb34463c8107d7d,1923,,"● ?초대/소셜커머스 사이트?-?링크를 통해 적립금/크레딧 발생하는 게시물은 어떠한 경우에도 작성하실 수 없습니다. ? ??(퀸시, 지구인 등?포함 모든??초대링크 일절 금지, 작성 시 7일 활동 정지. 지속적 게시할 경우 강퇴처리) ???? 또한 적립금 미포함 상태에서의 핫딜만 게시 가능합니다. ● ?중복게시글은 삭제됩니다. ● 금전적 이득을 취하는 행위 및 광고/홍보 행위는 허용하지 않습니다. ? ? ? ? 슈퍼딜로 스텐식기랑 도시락용품 원쁠원 떴네요. 애들이 핸드폰으로 뽀로로랑폴리 틀어달라고 하도 난리 쳐서; 보기만 해도 싫었는데 식기 보니까 저도 모르게사주고 싶네요...ㅎㅎㅎ 마트에서는 비싸서 보고도그냥 지나쳤었는데 이건 꽤 싼 거 같아서 올려봐요. 무료배송이라 조건도 괜찮은것 같아요 ? ? http://item.gmarket.co.kr/Item?goodscode=402456230 ? ? ? ? ? ? ? ? ▣ 몰스에서는 서로에게 최소한의 예의를 지켜야하며, 광고, 악성덧글, 상처를 줄수 있는 덧글, 비방글, 확인되지 않은?마녀사냥이 될수 있는 글은??바로 활동정지 및 강퇴됩니다.",지마켓,8,2017-06-29 10:16:00,지마켓 슈퍼딜에서 캐릭터 스텐식기랑 도시락용품 1+1하네요
서쪼옥 blues002(ggoc****),2e95580013464015b4828c189684d68d,128,,"휴대용 유모차 핫딜 기다리다가 지마켓에 떳길래 글 올려봅니다. 구매 계획하셨던 분들은 좋은 가격같은데 구입하세요~ 아직 전 요야, 터보, 잉글레시나 3개증 고민인데 사용해보신분 조언부탁드려요~ G마켓 - http://mitem.gmarket.co.kr/Item?goodscode=795154742",지마켓,1,2017-06-21 01:47:00,"(지마켓) 엘레니어 윙스 S 휴대용유모차 89,000원"
