author,board_id,clicks,comment_n,content,key,likes,register_date,title
분홍셀리나 KI18096(iseu****),02171650b5b1476cb6f553ec0afe6ecf,6444,53.0,꼬북칩 많이 찾으시길래 올립니다^^ 저는 이@트에서 사먹어봤는데 그냥 그랬거든요 가격도 착하네요 80g 이에요 제가 이@트에서 산건 160g 이네요,위메프,5,2017-06-13 10:42:00,"[위메프] 꼬북칩 12개 13,900원"
쑴돌이 lovesum2(love****),04dbdb5cad9445138005d41ebe509714,603,,200ml 원래가격이 7만원대인데 스타쿠폰 20프로짜리쓰니 58000원대 나오고요. 카드할인 5만이상 5천원적용되서 53천원대 나와요! 정품여부는 각자 판단하셔야할듯해요. 상품링크 http://mapi.wemakeprice.com/mobile_app/direct_to_app/1812685,위메프,1,2017-06-21 12:26:00,위메프 모로칸오일 200ml 53000원대!
맘스 mb22kms(mb22****),143f3e30dde140a09918dc9f2e72dea3,1852,25.0,애들과인데 특가때 산거 제가 먹어도 맛잇어요~ 애들한테도 좋구요 추가구매 하고싶었는데 딜 떳어요~ 10+2 겟하셔요 종근당 대기업제품이라 믿을수 있구요 http://www.wemakeprice.com/deal/adeal/2327068/?source=dealsearch&search_keyword=%EC%8C%80%EB%88%88%EC%8C%80&no=1&_service=3&_no=1,위메프,10,2017-07-07 08:40:00,위메프 유기농과자990원 무배 10+2
가을가을이 writer(writ****),1721e84b9e4546a59700f2d3e8f274f6,6535,48.0,"● ?초대/소셜커머스 사이트?-?링크를 통해 적립금/크레딧 발생하는 게시물은 어떠한 경우에도 작성하실 수 없습니다. ? ??(퀸시, 지구인 등?포함 모든??초대링크 일절 금지, 작성 시 7일 활동 정지. 지속적 게시할 경우 강퇴처리) ???? 또한 적립금 미포함 상태에서의 핫딜만 게시 가능합니다. ● ?중복게시글은 삭제됩니다. ● 금전적 이득을 취하는 행위 및 광고/홍보 행위는 허용하지 않습니다. ? 위메프 투데이 특가에 따서조립하기 떴어요. 몰스에서는 꽤 유명한 제품 같던데 저는 여태 고민만 했었는데 드디어 샀어요 ㅋ 그런데 저는 소심하게 두개만 질렀어요.ㅋㅋㅋㅋㅋㅋ 지난번에는 2만원 이상 무배라서 고민만 하다가 말았는데 여기는 무조건 무료배송이네요. 다들 어린이집 생일선물로 쟁이시더라구요.? 괜찮은 거 같음 저도 넉넉히 들여보려구요.? ? 저처럼 배송비땜에 고민하시던 분들 함 가보세요. 투데이특가라서 오늘 마감이에요. http://www.wemakeprice.com/deal/adeal/2201541/?source=dealsearch&search_keyword=%EB%94%B0%EC%84%9C%EC%A1%B0%EB%A6%BD%ED%95%98%EA%B8%B0&no=5&_service=3&_no=5 ? ? ? ? ▣ 몰스에서는 서로에게 최소한의 예의를 지켜야하며, 광고, 악성덧글, 상처를 줄수 있는 덧글, 비방글, 확인되지 않은?마녀사냥이 될수 있는 글은??바로 활동정지 및 강퇴됩니다.",위메프,10,2017-06-14 01:00:00,위메프 투데이특가 떴네요. <따서조립하기> 11종
시로우 skemfdl(answ****),1b15a34044694b12912fc62d0c828b8c,645,5.0,"살까말까 고민만하다가 지나쳤던 거꾸로 장우산 9,900원 특가 또 떴네요. 일반 우산이랑은 다르게 반대로 펴고 접는건데 옷이 젖지 않는다는 장점이.. 애아빠 차에 두고 쓰라고 하나, 저도 하나 써보려고 2개 주문했어요~ 저는 레드, 아빠는 블랙~~ 인터넷 뒤져보니 최저가는 맞는듯싶어요 http://www.wemakeprice.com/deal/adeal/2332793/?source=dealsearch&search_keyword=%EA%B1%B0%EA%BE%B8%EB%A1%9C%EC%9E%A5%EC%9A%B0%EC%82%B0&no=1&_service=3&_no=1 ?",위메프,3,2017-07-11 09:53:00,"위메프 투데이특가 거꾸로 장우산 9,900원 무배에요"
난누구beaful1004(beaf****),1f41d1ea87e24f9597a34146d9b7135a,209,,"● ?초대/소셜커머스 사이트?-?링크를 통해 적립금/크레딧 발생하는 게시물은 어떠한 경우에도 작성하실 수 없습니다. ? ??(퀸시, 지구인 등?포함 모든??초대링크 일절 금지, 작성 시 7일 활동 정지. 지속적 게시할 경우 강퇴처리) ???? 또한 적립금 미포함 상태에서의 핫딜만 게시 가능합니다. ● ?중복게시글은 삭제됩니다. ● 금전적 이득을 취하는 행위 및 광고/홍보 행위는 허용하지 않습니다. ? ? ?달달이 커피 좋아하시는 분들 달리세요 칸타타 라떼 300미리짜리 20개 8500 유통기한 8/19 바로 드시는 분들만 구입하시는게 좋을듯합니다. ? ?http://www.wemakeprice.com/deal/adeal/2265115/100600/?source=mdeal&tab=&no=2 ? ? ? ? ? ▣ 몰스에서는 서로에게 최소한의 예의를 지켜야하며, 광고, 악성덧글, 상처를 줄수 있는 덧글, 비방글, 확인되지 않은?마녀사냥이 될수 있는 글은??바로 활동정지 및 강퇴됩니다.",위메프,1,2017-06-29 02:39:00,위메프 칸타타라떼 300ml 20펫 8500
맘스 mb22kms(mb22****),28fb83f4563945f694a59821f9b87be7,510,,"? ● ?초대/소셜커머스 사이트?-?링크를 통해 적립금/크레딧 발생하는 게시물은 어떠한 경우에도 작성하실 수 없습니다. ? ??(퀸시, 지구인 등?포함 모든??초대링크 일절 금지, 작성 시 7일 활동 정지. 지속적 게시할 경우 강퇴처리) ???? 또한 적립금 미포함 상태에서의 핫딜만 게시 가능합니다. ● ?중복게시글은 삭제됩니다. ● 금전적 이득을 취하는 행위 및 광고/홍보 행위는 허용하지 않습니다. ? ? ?홈플에 한개에 4500원에 팔던데 비싸서 안샀는데 1+1에 5900무배에요 ? 심야특가인데 몇시간만 하는거 같아요~ ? ? ?http://mapi.wemakeprice.com/mobile_app/direct_to_app/2229206 ? ? ? ? ? ? ? ? ? ? ? ? ▣ 몰스에서는 서로에게 최소한의 예의를 지켜야하며, 광고, 악성덧글, 상처를 줄수 있는 덧글, 비방글, 확인되지 않은?마녀사냥이 될수 있는 글은??바로 활동정지 및 강퇴됩니다. ? ?",위메프,0,2017-06-30 22:55:00,위메프 심야특가 라인프렌즈 모기기피제 썸머쿨 1+1 5900무배요
사랑단비 KT44229(dbsl****),38b29d2535aa410a8c30426899dea809,8425,17.0,이쁜 디자인 많이 있네요 http://mapi.wemakeprice.com/mobile_app/direct_to_app/2299055,위메프,11,2017-07-06 00:24:00,위메프 심야특가 패디팁 6900
기르singir(sing****),3c23f820fcad4d2089eeb5dd4838045e,597,,위메프에서 루카스9 아이스라떼 30T에 유리컵 2개 증정에 10900원에 진행하네요 ? 라떼는 루카스가 확실히 맛있어서 종종 애용했는데 이번 행사에 왕창 구입했네요 ㅎㅎㅎ ? 컵도 2개나 준다니 좋구요 ㅎㅎㅎ ? ? http://www.wemakeprice.com/deal/adeal/2250500/100600/?source=promotion/branding_m0622 ? ?,위메프,2,2017-06-22 13:50:00,"위메프 루카스9 라떼 30T+유리컵2개 증정 10,900원!!"
콩콩이맘minjung7716(minj****),3c25865e81514a538f60ad44e752162c,5689,,"? ● ?초대/소셜커머스 사이트?-?링크를 통해 적립금/크레딧 발생하는 게시물은 어떠한 경우에도 작성하실 수 없습니다. ? ??(퀸시, 지구인 등?포함 모든??초대링크 일절 금지, 작성 시 7일 활동 정지. 지속적 게시할 경우 강퇴처리) ???? 또한 적립금 미포함 상태에서의 핫딜만 게시 가능합니다. ● ?중복게시글은 삭제됩니다. ● 금전적 이득을 취하는 행위 및 광고/홍보 행위는 허용하지 않습니다. ? ? ? ? ? ? ? ? ?100개정도 ?남았어요 ?고고고 ?하셔요 ? ? ? ▣ 몰스에서는 서로에게 최소한의 예의를 지켜야하며, 광고, 악성덧글, 상처를 줄수 있는 덧글, 비방글, 확인되지 않은?마녀사냥이 될수 있는 글은??바로 활동정지 및 강퇴됩니다. ? ?",위메프,8,2017-06-19 14:15:00,위메프 오돌뼈 수량있어요
