scores,time_points,x,keyword
0.0,415767.25,2017-06-07 00:15:00,위메프
0.0,415767.5,2017-06-07 00:30:00,위메프
0.0,415767.75,2017-06-07 00:45:00,위메프
0.0,415768.0,2017-06-07 01:00:00,위메프
0.0,415768.25,2017-06-07 01:15:00,위메프
0.0,415768.5,2017-06-07 01:30:00,위메프
0.0,415768.75,2017-06-07 01:45:00,위메프
0.0,415769.0,2017-06-07 02:00:00,위메프
0.0,415769.25,2017-06-07 02:15:00,위메프
0.0,415769.5,2017-06-07 02:30:00,위메프
0.0,415769.75,2017-06-07 02:45:00,위메프
0.0,415770.0,2017-06-07 03:00:00,위메프
0.0,415770.25,2017-06-07 03:15:00,위메프
0.0,415770.5,2017-06-07 03:30:00,위메프
0.0,415770.75,2017-06-07 03:45:00,위메프
0.0,415771.0,2017-06-07 04:00:00,위메프
0.0,415771.25,2017-06-07 04:15:00,위메프
0.0,415771.5,2017-06-07 04:30:00,위메프
0.0,415771.75,2017-06-07 04:45:00,위메프
0.0,415772.0,2017-06-07 05:00:00,위메프
0.0,415772.25,2017-06-07 05:15:00,위메프
0.0,415772.5,2017-06-07 05:30:00,위메프
0.0,415772.75,2017-06-07 05:45:00,위메프
0.0,415773.0,2017-06-07 06:00:00,위메프
0.0,415773.25,2017-06-07 06:15:00,위메프
0.0,415773.5,2017-06-07 06:30:00,위메프
0.0,415773.75,2017-06-07 06:45:00,위메프
0.0,415774.0,2017-06-07 07:00:00,위메프
0.0,415774.25,2017-06-07 07:15:00,위메프
0.0,415774.5,2017-06-07 07:30:00,위메프
0.0,415774.75,2017-06-07 07:45:00,위메프
0.0,415775.0,2017-06-07 08:00:00,위메프
0.0,415775.25,2017-06-07 08:15:00,위메프
0.0,415775.5,2017-06-07 08:30:00,위메프
0.0,415775.75,2017-06-07 08:45:00,위메프
0.0,415776.0,2017-06-07 09:00:00,위메프
0.0,415776.25,2017-06-07 09:15:00,위메프
0.0,415776.5,2017-06-07 09:30:00,위메프
0.0,415776.75,2017-06-07 09:45:00,위메프
0.0,415777.0,2017-06-07 10:00:00,위메프
0.0,415777.25,2017-06-07 10:15:00,위메프
0.0,415777.5,2017-06-07 10:30:00,위메프
0.0,415777.75,2017-06-07 10:45:00,위메프
0.0,415778.0,2017-06-07 11:00:00,위메프
0.0,415778.25,2017-06-07 11:15:00,위메프
0.0,415778.5,2017-06-07 11:30:00,위메프
0.0,415778.75,2017-06-07 11:45:00,위메프
0.0,415779.0,2017-06-07 12:00:00,위메프
0.0,415779.25,2017-06-07 12:15:00,위메프
0.0,415779.5,2017-06-07 12:30:00,위메프
0.0,415779.75,2017-06-07 12:45:00,위메프
0.0,415780.0,2017-06-07 13:00:00,위메프
0.0,415780.25,2017-06-07 13:15:00,위메프
0.0,415780.5,2017-06-07 13:30:00,위메프
0.0,415780.75,2017-06-07 13:45:00,위메프
0.0,415781.0,2017-06-07 14:00:00,위메프
0.0,415781.25,2017-06-07 14:15:00,위메프
0.0,415781.5,2017-06-07 14:30:00,위메프
0.0,415781.75,2017-06-07 14:45:00,위메프
0.0,415782.0,2017-06-07 15:00:00,위메프
0.0,415782.25,2017-06-07 15:15:00,위메프
0.0,415782.5,2017-06-07 15:30:00,위메프
0.0,415782.75,2017-06-07 15:45:00,위메프
0.0,415783.0,2017-06-07 16:00:00,위메프
0.0,415783.25,2017-06-07 16:15:00,위메프
0.0,415783.5,2017-06-07 16:30:00,위메프
0.0,415783.75,2017-06-07 16:45:00,위메프
0.0,415784.0,2017-06-07 17:00:00,위메프
0.0,415784.25,2017-06-07 17:15:00,위메프
0.0,415784.5,2017-06-07 17:30:00,위메프
0.0,415784.75,2017-06-07 17:45:00,위메프
0.0,415785.0,2017-06-07 18:00:00,위메프
0.0,415785.25,2017-06-07 18:15:00,위메프
0.0,415785.5,2017-06-07 18:30:00,위메프
0.0,415785.75,2017-06-07 18:45:00,위메프
0.0,415786.0,2017-06-07 19:00:00,위메프
0.0,415786.25,2017-06-07 19:15:00,위메프
0.0,415786.5,2017-06-07 19:30:00,위메프
